Text,Date,Favorites,Retweets,Tweet ID
Who else is excited?pic.twitter.com/aJuH3466Kx,2015-08-18 13:40:35,1219,240,633725197510672385
check out my main man when it comes to reviews: @XerexusReviews follow him on a roll tonight. ans be ready for #BelieveMoviePremiereJBAO,2014-01-14 23:52:12,384,91,423346863526260736
"https://twitter.com/shiohandolive  the beautiful talents I wish I could meet. I'm a fan of theirs, you guys should check out their videos and follow too!",2012-07-30 16:33:27,653,328,230068619424444416
http://www.youtube.com/watch?v=z-inMNXD_Ss … #YouDontKnowStruggle check this out guys.,2012-07-18 02:25:43,493,234,225506622846414848
